153000001001010102001   5310 #0001    N 049836 ACBAECECEA EBDDBDCAECADBEBBDBE                                                            
153000002001010102001   5310 #0001    N 049839 ABAAACEECCDCCDDEDCACCDDDBCACDE                                                            
153000003001010102001   5310 #0001    N 049840 DABCCDDECACCBBCDBCBAEBDBABADBB                                                            
153000004001010102001   5310 #0001    N 049842 DBAAACEECCDCCDDEDCACABDEECADEA                                                            
153000005001010102001   5310 #0001    N 049843 AEABCEEBADDEBDDBEBBECADEBEADEA                                                            
153000006001010102001   5310 #0001    N 049844 BBAAACECACDCCDDEDCBCCBDEECADDB                                                            
153000007001010102001   5310 #0001    N 049845 AEABAEEECCDCCEDB CBECADEEBADCA                                                            
153000008001010102001   5310 #0001    N 049846                                                                                           
153000009001010102001   5310 #0001    N 049838 ADCCADDBCCEEBDDDDCAEEADDBBACCC                                                            
153000010001010102001   5310 #0001    N 049837 AEABCEDEAADCBDDDDCBECBDEEBADEA                                                            
153000011001010102001   5310 #0001    N 049841 AEABEEDBACDECECBDCBECADEEBADEA                                                            
153000012001010102001   5310 #0001    N 049835 DEDEDEDEDEDCCDDCDABECBDEECADC                                                             

