153000001001010102001   5310 #0001    N 048994 EAABCDCAAAECAAAACAEBEAEBCBBCCC                                                            
153000002001010102001   5310 #0001    N 048993 ABCCCCCAAAECAEAABABCADDEBBBCCE                                                            
153000003001010102001   5310 #0001    N 048996                                                                                           
153000004001010102001   5310 #0001    N 048995                                                                                           

