153000001001010102001   5310 #0001    N 049087 ACEDBCDBACBBCCDBADBECADEEEADBE                                                            
153000002001010102001   5310 #0001    N 049088 DAEAACABDABBBDCBDBAEABBEDABDCA                                                            
153000003001010102001   5310 #0001    N 049090 ABCABABCACDBCEEBBBBECADAECADDC                                                            
153000004001010102001   5310 #0001    N 049083 ACDCDCABCDEACDEBBBAAACDDDCABCD                                                            
153000005001010102001   5310 #0001    N 049091 CCCABCDBCDBACEABAEAEADEABEACBD                                                            
153000006001010102001   5310 #0001    N 049092 CBDABCBECABACEEBEDAAAD BDCADAD                                                            
153000007001010102001   5310 #0001    N 049093 ABCABEADCCBDADDBBDEAAADBECABEC                                                            
153000008001010102001   5310 #0001    N 049080 ECCAAADBDBBBABEBBBBCABDDAECCDE                                                            
153000009001010102001   5310 #0001    N 049081 BCBACBAECBBCBCABDCACECBCDBECEB                                                            
153000010001010102001   5310 #0001    N 049089 ACBABCDDCBEACBABDBBECBDEEBADBD                                                            
153000011001010102001   5310 #0001    N 049082 BADBBCBBCCEACAEBDDAECBDDACAEBE                                                            
153000012001010102001   5310 #0001    N 049084 DCDAB ECBCBBCECBBCBEABEBA ADBD                                                            
153000013001010102001   5310 #0001    N 049085 ECCAECDCACECCAEADABEDBCEBBCECA                                                            
153000014001010102001   5310 #0001    N 049086 ABDABCDBCCBBBBEBADBECAEDEBADEA                                                            
153000015001010102001   5310 #0001    N 049094 CBEABEBDACDBBDCBDABECADEEBADEA                                                            
153000016001010102001   5310 #0001    N 049095 BBCABCABDBBBCBDBBBBECBCEAEAEAE                                                            
153000017001010102001   5310 #0001    N 049096 CCEBBCBDCCBBBBEBBABACACEECABCD                                                            
153000018001010102001   5310 #0001    N 049097 DCCABCADBCDCBDEBACBECADEEBADEA                                                            
153000019001010102001   5310 #0001    N 049098 AACBBADBCEBBCCEBBABECDDCACADBD                                                            
153000020001010102001   5310 #0001    N 049099 ACCABCDDDCEBCCCBADBECADEEBADEA                                                            

