153000001001010102001   5310 #0001    N 049776 EBACAEACACDBACCABAAECADCCCADEC                                                            
153000002001010102001   5310 #0001    N 049777 EEBCADADEECBBDCABEBEADDDAEABCD                                                            
153000003001010102001   5310 #0001    N 049778 DBDCECAACAADCBAACBBEAEDDABAAAD                                                            
153000004001010102001   5310 #0001    N 049779 EABCAEDCBAABADAAABACCBDCAAAD D                                                            
153000005001010102001   5310 #0001    N 049780 CAECDACBDAABABDCCEACCCDBAAADBB                                                            
153000006001010102001   5310 #0001    N 049781 CEBCEAAADDCBBAAACBACCBDDABACBD                                                            
153000007001010102001   5310 #0001    N 049782 EBBCAEACAABBACCDCBBACADCCCABED                                                            
153000008001010102001   5310 #0001    N 049783 BCBCDEBDAACDBCAAEBAEABDDEBABDD                                                            
153000009001010102001   5310 #0001    N 049784 ECBCDEDAABABBCADAABCECEAACABCE                                                            
153000010001010102001   5310 #0001    N 049718 BDABAC C ECBAADADDBAADDEACABBE                                                            
153000011001010102001   5310 #0001    N 049847 CBACAAAAD ABCD A ABCAADAECADBD                                                            
153000012001010102001   5310 #0001    N 049848 EECCEDCCDCCBBDEADCBCCADAEDABDB                                                            
153000013001010102001   5310 #0001    N 049849 ECACBCDAECCBCDDA CAECBCA EA                                                               
153000014001010102001   5310 #0001    N 049850 BEBCECAADBCCDAAADBAEDBAAEBADBC                                                            
153000015001010102001   5310 #0001    N 049851 EECEEDCCEEABBDDBDEAECBDEACACCC                                                            
153000016001010102001   5310 #0001    N 049852 EEBCDADDEEBAACAADBBCAAEABDACCB                                                            
153000017001010102001   5310 #0001    N 049853 CEBCDCDDEBADABDADCBCCADCBCACEC                                                            
153000018001010102001   5310 #0001    N 049854 EDCCADADECCBADCABBBECADEECABAD                                                            
153000019001010102001   5310 #0001    N 049855 BEECACAAAACBDDEABABBBBDEEBABBD                                                            
153000020001010102001   5310 #0001    N 049856 BBDAECBAACABCCBACBACAADDAECBBB                                                            
153000021001010102001   5310 #0001    N 049857 BBDCAEAADEABABBAACBCCACDBEABBA                                                            

