153000001001010102001   5310 #0001    N 049754 EABBADDABDDAEABEEAAAABDCAEADBC                                                            
153000002001010102001   5310 #0001    N 049725 EABAADDBDCCBDEDDCABEADDDACADCA                                                            
153000003001010102001   5310 #0001    N 049726 EABAADBACEDADCCDEDAEBADEACADED                                                            
153000004001010102001   5310 #0001    N 049727 BCBCADBDDDDADADDDABECDDEDBADAD                                                            
153000005001010102001   5310 #0001    N 049728 BBDABCABDCDCAAEADABCABEAECACBC                                                            
153000006001010102001   5310 #0001    N 049729 EADAABEECCEBDEEDACEDEDDDABABBC                                                            
153000007001010102001   5310 #0001    N 049730 EBEAACBBBDDBDAADEAAEAADEBCAEBE                                                            
153000008001010102001   5310 #0001    N 049731 EBCAADBBBCDCBAABEAAEAADDBCACBC                                                            
153000009001010102001   5310 #0001    N 049732 BABBAC ACADABAADBAAAABEAABABCC                                                            
153000010001010102001   5310 #0001    N 049733 ADBAADBBDDDABAADDABECBDADBABBD                                                            
153000011001010102001   5310 #0001    N 049736 BBBBADBBCCDBDADDEABAAADEECADCE                                                            
153000012001010102001   5310 #0001    N 049737 BACBADBBCDCABADBAAAEAADEECAACA                                                            
153000013001010102001   5310 #0001    N 049738 BDCBCDBADDDBDAADDAAECADEEBADBD                                                            
153000014001010102001   5310 #0001    N 049739 EABAADCBCBBBDCABAABECBDAECADEC                                                            
153000015001010102001   5310 #0001    N 049734 ABBAACCBAECADEABDAAACBDADCABCD                                                            
153000016001010102001   5310 #0001    N 049735 EBDAADBEDDDBDEADCDAECBDCCCAADD                                                            
153000017001010102001   5310 #0001    N 049752 BBEAADBDAEDADAEDEABBADDDBCADBC                                                            
153000018001010102001   5310 #0001    N 049753 BADDACBBBACBAADBEABCCBDEDDABBB                                                            

