153000001001010102001   5310 #0001    N 049631 DCBEBBDBBDBCCABBDCBECADEEBADEA                                                            
153000002001010102001   5310 #0001    N 049632 ECCDECDBCCACCADBBABECADEEBADEE                                                            
153000003001010102001   5310 #0001    N 049647 EBBDBEDDAEBCEADEBBBECADEEBADEA                                                            
153000004001010102001   5310 #0001    N 049649 ABBBCEBAEDAAADD DABECDEEEBADEA                                                            
153000005001010102001   5310 #0001    N 049648 EDCEBEBDBEDEBABDBEBECADEEBADEA                                                            

