136000001001081323001   5330     1    N 017739PBCEAACDEACADBCCCACCCCCBDCBAAABCCEABADDDCCADCBBCEDACDED BCCDE                              
136000002001081323001   5330     1    N 017740QDEABDBDBAEEACDEEDEBEAEEBEBDDCCDDECBECAAADCDADAAAEBEDBCDAEEBC                              
136000003001081323001   5330     1    N 017741RAADDEDBEDDBCDAADBBEBBABBAABDABABEBBCCCBAABBEDBBECEBCACBAEAAC                              
136000004001081323001   5330     1    N 017742SBACBBDCAABECCBDDCBDDADBBDBCDBDBDDBCDDBEEABADDAEBDBCECCDCDCBE                              
136000005001081323001   5330     1    N 017743TECDCDCADCABBEEEAAACADAABAEEDBABECCADBBAAEDCDBDEAADEECBEBDDBB                              
136000006001081323001   5330     1    N 017744PBBDBDBCAEDCDBACCBDCCCCCBCCAAABCCCCBBDDCCCABCBBCAAACBBACBBCAC                              
136000007001081323001   5330     1    N 017745QAB EBCAABCCCDEEEDBCECEECBEECCDDBCEAEDBADCCDEECDDEBEDABDCDEEC                              
136000008001081323001   5330     1    N 017746RDCEEDBCECCCDDCAACBEBEEBBBCABAAEBECBACCAECBACACDBECDEAC CBEAC                              
136000009001081323001   5330     1    N 017747SCAACAAABCBDEAEDDAACDBDABCACEBDADADBDDBEEEBCDBDDCCECCDBEBACDC                              
136000010001081323001   5330     1    N 017748TEBC E D B D  EECAAAEDAABAADABBAACBCDCBADEBCD A  CCDEAEEDCE D                              
136000011001081323001   5330     1    N 017749PCCDCCBBCCADDCCCCCDCCCABACCACEBCCECAADCCCBADA BCCBCCDBBBBABCC                              
136000012001081323001   5330     1    N 017750QBDBAAABBBBEADAEECEBEBEEAEEEDADDCEEBCCBAEECBCACDDECBADABAEEAB                              
136000013001081323001   5330     1    N 017751R      A   BCACD BBECEBDABABCCBEB CDDBBEAABBEAACA EDCAEBAEAE                               
136000014001081323001   5330     1    N 017752SBBBBBCCCCCD AAEDDADBBDDEDEDDBDBACAEDBBEEDBECDDDDDDCECCEABCCC                              
136000015001081323001   5330     1    N 017753TCBCCBCABCBACDBCBAAABAAAAABDADEAEDDADBBAAEAADDAEAACAEADEBADDB                              
136000016001081323001   5330     1    N 017754PBAEEECDABACCEBCCEDCCCCCBCCBCABCCECDABDCCAAEABCEACAEBBDBBABCA                              
136000017001081323001   5330     1    N 017755QBDEEDCACBDECCDEEDCAEDEEAECECEEDEBCCECAAACCDD CCDECCAECDACEAD                              
136000018001081323001   5330     1    N 017756RDABECBEBDABBECBACBABEBBABEBDABABEBEDCBBEDDBECACEBEDBECAEDECE                              
136000019001081323001   5330     1    N 017757SADBCBDCCAADDBBDDBDDEACBBABCAECAEDDCCDBAEEBABDBCABCCE CDCBCAE                              
136000020001081323001   5330     1    N 017758TACEDECEAAEAAEDEEAACAAAAEABDAEEAACAADBBAADDADEDBDAD EDBEBAABD                              
136000021001081323001   5330     1    N 017759PBCEADBABBBECBCCCBACCBCCDACACABCCCABADDCCAADADBCBCAADEBBBCCDB                              
136000022001081323001   5330     1    N 017760QD  CD BCDCEACBAEAEDECDCBBEDCEEDAAEDECBAEDCBDDCEDAC CDADACDDC                              
136000023001081323001   5330     1    N 017761RDEBCBCBABEBCEBBBCBCCEBBADBBCABEDABDDCCBBABEBCDBDBDBCACDAAAAA                              
136000024001081323001   5330     1    N 017762SADCDAECBAADECEDDCADDDDDCAACDBDABDDBEDBDEDBACBBEBBACBBBAABDCE                              
136000025001081323001   5330     1    N 017763TEEEEEEEEEEAAEACDAAAAEAADAEDABEABEDADABADEEEDAEEEAEABABEBAEAD                              
136000026001081323001   5330     1    N 017764PBBDDCB DCDCDEECCCCBCCDCCCEACDCCCDCDADDCCBABD B ACCCDBBBDCCBD                              
136000027001081323001   5330     1    N 017765QBDDDCDBBBEADDBEEBAEECAEABAEDEBDEBCDEDAAEECBCACDDEC DACDABCAC                              
136000028001081323001   5330     1    N 017766REBDEEAAE EB ABABBBBBABAABCBEADEBCBBCCBBEEBBE  BAABECAC AEADB                              
